x_value,call,put,acao
2021-09-02 15:51:01,0.76,0.84,26.71
2021-09-02 15:51:04,0.76,0.84,26.71
2021-09-02 15:51:07,0.76,0.84,26.71
2021-09-02 15:51:10,0.76,0.84,26.71
2021-09-02 15:51:13,0.76,0.84,26.71
2021-09-02 15:51:16,0.76,0.84,26.71
2021-09-02 15:51:19,0.76,0.84,26.71
2021-09-02 15:51:22,0.76,0.84,26.71
2021-09-02 15:51:25,0.76,0.84,26.72
2021-09-02 15:51:28,0.76,0.84,26.71
2021-09-02 15:51:31,0.76,0.84,26.71
2021-09-02 15:51:34,0.76,0.84,26.71
2021-09-02 15:51:37,0.76,0.84,26.72
2021-09-02 15:51:40,0.76,0.84,26.72
2021-09-02 15:51:43,0.76,0.84,26.71
2021-09-02 15:51:46,0.76,0.84,26.71
2021-09-02 15:51:49,0.76,0.84,26.71
2021-09-02 15:51:52,0.76,0.84,26.71
2021-09-02 15:51:55,0.76,0.84,26.71
2021-09-02 15:51:58,0.76,0.85,26.72
2021-09-02 15:52:01,0.76,0.85,26.71
2021-09-02 15:52:04,0.76,0.85,26.72
2021-09-02 15:52:07,0.76,0.85,26.71
2021-09-02 15:52:10,0.76,0.85,26.71
2021-09-02 15:52:13,0.76,0.85,26.72
2021-09-02 15:52:16,0.76,0.85,26.71
2021-09-02 15:52:19,0.76,0.85,26.71
2021-09-02 15:52:22,0.76,0.85,26.71
2021-09-02 15:52:25,0.76,0.85,26.71
2021-09-02 15:52:28,0.76,0.85,26.71
2021-09-02 15:52:31,0.76,0.85,26.71
2021-09-02 15:52:34,0.76,0.85,26.72
2021-09-02 15:52:37,0.76,0.85,26.71
2021-09-02 15:52:40,0.76,0.85,26.72
2021-09-02 15:52:43,0.76,0.85,26.71
2021-09-02 15:52:46,0.76,0.85,26.71
2021-09-02 15:52:49,0.76,0.85,26.71
2021-09-02 15:52:52,0.76,0.85,26.72
2021-09-02 15:52:55,0.76,0.85,26.72
2021-09-02 15:52:58,0.76,0.85,26.72
2021-09-02 15:53:01,0.76,0.85,26.72
2021-09-02 15:53:04,0.76,0.85,26.72
2021-09-02 15:53:07,0.76,0.85,26.72
2021-09-02 15:53:10,0.76,0.85,26.71
2021-09-02 15:53:13,0.76,0.85,26.71
2021-09-02 15:53:16,0.77,0.85,26.74
2021-09-02 15:53:19,0.77,0.85,26.75
2021-09-02 15:53:22,0.77,0.85,26.74
2021-09-02 15:53:25,0.77,0.85,26.74
2021-09-02 15:53:28,0.77,0.85,26.74
2021-09-02 15:53:31,0.77,0.83,26.74
2021-09-02 15:53:34,0.77,0.83,26.74
2021-09-02 15:53:37,0.77,0.83,26.74
2021-09-02 15:53:40,0.77,0.83,26.74
2021-09-02 15:53:43,0.78,0.83,26.75
2021-09-02 15:53:46,0.78,0.83,26.75
2021-09-02 15:53:49,0.78,0.83,26.76
2021-09-02 15:53:52,0.78,0.83,26.75
2021-09-02 15:53:55,0.78,0.83,26.76
2021-09-02 15:53:58,0.78,0.83,26.76
2021-09-02 15:54:01,0.78,0.82,26.75
2021-09-02 15:54:04,0.78,0.82,26.76
2021-09-02 15:54:07,0.78,0.82,26.75
2021-09-02 15:54:10,0.78,0.82,26.75
2021-09-02 15:54:13,0.78,0.82,26.77
2021-09-02 15:54:16,0.78,0.82,26.75
2021-09-02 15:54:19,0.78,0.82,26.76
2021-09-02 15:54:22,0.78,0.82,26.76
2021-09-02 15:54:25,0.78,0.82,26.76
2021-09-02 15:54:29,0.78,0.82,26.76
2021-09-02 15:54:32,0.78,0.82,26.76
2021-09-02 15:54:35,0.78,0.82,26.76
2021-09-02 15:54:38,0.78,0.82,26.77
2021-09-02 15:54:41,0.78,0.82,26.76
2021-09-02 15:54:44,0.78,0.82,26.76
2021-09-02 15:54:47,0.78,0.82,26.76
2021-09-02 15:54:50,0.78,0.83,26.74
2021-09-02 15:54:53,0.78,0.83,26.74
2021-09-02 15:54:56,0.78,0.83,26.74
2021-09-02 15:54:59,0.78,0.83,26.73
2021-09-02 15:55:02,0.78,0.83,26.73
2021-09-02 15:55:05,0.78,0.83,26.73
2021-09-02 15:55:08,0.78,0.83,26.73
2021-09-02 15:55:11,0.78,0.84,26.73
2021-09-02 15:55:14,0.78,0.84,26.73
2021-09-02 15:55:17,0.78,0.84,26.73
2021-09-02 15:55:20,0.78,0.84,26.73
2021-09-02 15:55:23,0.78,0.84,26.73
2021-09-02 15:55:26,0.78,0.84,26.73
2021-09-02 15:55:29,0.78,0.84,26.73
2021-09-02 15:55:32,0.78,0.84,26.73
2021-09-02 15:55:35,0.78,0.84,26.73
2021-09-02 15:55:38,0.78,0.84,26.73
2021-09-02 15:55:41,0.78,0.84,26.73
2021-09-02 15:55:44,0.78,0.84,26.74
2021-09-02 15:55:47,0.78,0.84,26.74
2021-09-02 15:55:50,0.78,0.84,26.74
2021-09-02 15:55:53,0.78,0.84,26.74
2021-09-02 15:55:56,0.78,0.84,26.73
2021-09-02 15:55:59,0.78,0.84,26.73
2021-09-02 15:56:02,0.78,0.84,26.73
2021-09-02 15:56:05,0.78,0.84,26.73
2021-09-02 15:56:08,0.78,0.84,26.73
2021-09-02 15:56:11,0.78,0.84,26.73
2021-09-02 15:56:14,0.78,0.84,26.74
2021-09-02 15:56:17,0.78,0.84,26.73
2021-09-02 15:56:20,0.78,0.84,26.73
2021-09-02 15:56:23,0.78,0.84,26.73
2021-09-02 15:56:26,0.78,0.84,26.75
2021-09-02 15:56:29,0.78,0.84,26.74
2021-09-02 15:56:32,0.78,0.84,26.74
2021-09-02 15:56:35,0.78,0.84,26.74
2021-09-02 15:56:38,0.78,0.84,26.74
2021-09-02 15:56:41,0.78,0.84,26.74
2021-09-02 15:56:44,0.78,0.84,26.75
2021-09-02 15:56:47,0.78,0.84,26.76
2021-09-02 15:56:50,0.78,0.84,26.76
2021-09-02 15:56:53,0.78,0.84,26.76
2021-09-02 15:56:56,0.78,0.84,26.75
2021-09-02 15:56:59,0.78,0.84,26.75
2021-09-02 15:57:02,0.79,0.84,26.75
2021-09-02 15:57:05,0.79,0.84,26.78
2021-09-02 15:57:08,0.79,0.84,26.78
2021-09-02 15:57:11,0.79,0.84,26.78
2021-09-02 15:57:14,0.79,0.84,26.78
2021-09-02 15:57:17,0.79,0.84,26.76
2021-09-02 15:57:20,0.79,0.84,26.76
2021-09-02 15:57:23,0.79,0.84,26.76
2021-09-02 15:57:26,0.79,0.84,26.76
2021-09-02 15:57:29,0.79,0.84,26.77
2021-09-02 15:57:32,0.79,0.84,26.76
2021-09-02 15:57:35,0.79,0.84,26.76
2021-09-02 15:57:38,0.79,0.84,26.76
2021-09-02 15:57:41,0.79,0.84,26.76
2021-09-02 15:57:44,0.79,0.84,26.76
2021-09-02 15:57:47,0.79,0.84,26.75
2021-09-02 15:57:50,0.79,0.84,26.75
2021-09-02 15:57:53,0.79,0.84,26.75
2021-09-02 15:57:56,0.79,0.84,26.75
2021-09-02 15:57:59,0.79,0.84,26.75
2021-09-02 15:58:02,0.79,0.84,26.74
2021-09-02 15:58:05,0.79,0.84,26.75
2021-09-02 15:58:08,0.79,0.84,26.74
2021-09-02 15:58:11,0.79,0.84,26.74
2021-09-02 15:58:14,0.79,0.84,26.74
